epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2912.13,1.50015,1.65278,0.01542,0.68532,0.61836,0.69183,0.45696,1.19406,1.1001,0.01465,0.000990365,0.000990365,0.000990365
43,2981.07,1.50364,1.62379,0.01547,0.68297,0.62626,0.70691,0.46737,1.17983,1.07931,0.01417,0.000973861,0.000973861,0.000973861
44,3051.2,1.50943,1.60462,0.01548,0.69959,0.62557,0.70139,0.47254,1.16999,1.02893,0.01425,0.000957358,0.000957358,0.000957358
45,3119.33,1.5182,1.61478,0.01545,0.70691,0.61447,0.69957,0.47486,1.1783,1.02132,0.01466,0.000940855,0.000940855,0.000940855
46,3187.5,1.47631,1.59835,0.01492,0.69183,0.63156,0.70543,0.47269,1.17674,1.05332,0.01433,0.000924352,0.000924352,0.000924352
47,3257.3,1.48019,1.56695,0.01485,0.75135,0.60844,0.71323,0.47615,1.17552,1.03043,0.01448,0.000907848,0.000907848,0.000907848
48,3325.98,1.48136,1.57919,0.01521,0.67271,0.6179,0.69003,0.46474,1.17533,1.07693,0.01441,0.000891345,0.000891345,0.000891345
49,3394.65,1.47739,1.57091,0.015,0.66504,0.62388,0.69404,0.47393,1.16035,1.0491,0.01428,0.000874842,0.000874842,0.000874842
50,3464.19,1.46859,1.58614,0.01506,0.69838,0.64229,0.70954,0.47797,1.14892,1.03467,0.0139,0.000858338,0.000858338,0.000858338
51,3533.07,1.46828,1.57537,0.01497,0.72726,0.61939,0.71233,0.47319,1.17413,1.02416,0.01436,0.000841835,0.000841835,0.000841835
52,3601.81,1.47368,1.54771,0.01474,0.66139,0.64574,0.69946,0.47082,1.19544,1.01791,0.01452,0.000825332,0.000825332,0.000825332
53,3670.75,1.47508,1.5255,0.01508,0.72265,0.60254,0.70429,0.47266,1.18457,1.02274,0.01449,0.000808828,0.000808828,0.000808828
54,3740.41,1.46816,1.54579,0.01494,0.74237,0.59193,0.69854,0.48049,1.14176,1.03843,0.01395,0.000792325,0.000792325,0.000792325
55,3808.92,1.4505,1.5002,0.01446,0.6871,0.66838,0.7245,0.4863,1.16397,0.95412,0.01434,0.000775822,0.000775822,0.000775822
